,date,start price,highest price,cheapest price,closing price,yield,fixed closing price
78,2016-04-26,2964,2964,2901,2923,22600,2923
79,2016-04-27,2921,2984,2921,2942,7000,2942
80,2016-04-28,2942,2984,2933,2940,24900,2940
81,2016-05-02,2880,2929,2880,2905,25200,2905
82,2016-05-06,2928,2968,2918,2965,38400,2965
83,2016-05-09,2995,2995,2934,2957,43900,2957
84,2016-05-10,2958,2994,2952,2992,25200,2992
85,2016-05-11,2944,2988,2944,2953,31600,2953
86,2016-05-12,2950,2988,2950,2985,18300,2985
87,2016-05-13,2958,2972,2941,2941,19500,2941
88,2016-05-16,2911,2945,2911,2925,28300,2925
89,2016-05-17,2925,2939,2917,2926,6000,2926
90,2016-05-18,2910,2929,2899,2915,17300,2915
91,2016-05-19,2937,2937,2910,2921,9900,2921
92,2016-05-20,2921,2955,2916,2953,16900,2953
93,2016-05-23,2990,3015,2978,3015,44300,3015
94,2016-05-24,3015,3050,3000,3050,12200,3050
95,2016-05-25,3060,3065,3020,3020,10500,3020
96,2016-05-26,3000,3070,2996,3060,18500,3060
97,2016-05-27,3040,3050,3015,3020,10400,3020
98,2016-05-30,3010,3050,3005,3040,11500,3040
99,2016-05-31,3040,3060,3025,3045,11600,3045
100,2016-06-01,3000,3040,2999,3010,12800,3010
101,2016-06-02,3010,3030,3000,3005,7300,3005
102,2016-06-03,2988,3015,2987,3015,14500,3015
103,2016-06-06,3010,3035,2995,3015,12500,3015
104,2016-06-07,3030,3050,3015,3050,8300,3050
105,2016-06-08,3040,3055,3035,3045,7400,3045
106,2016-06-09,3025,3100,3025,3085,21500,3085
107,2016-06-10,3075,3075,3040,3055,12600,3055
108,2016-06-13,3030,3040,3000,3000,13900,3000
109,2016-06-14,3000,3010,2959,2960,13800,2960
110,2016-06-15,2950,2964,2925,2953,14100,2953
111,2016-06-16,2927,2945,2883,2916,29100,2916
112,2016-06-17,2911,2969,2911,2925,11700,2925
113,2016-06-20,2928,2987,2927,2965,12200,2965
114,2016-06-21,2963,3005,2963,3005,12400,3005
115,2016-06-22,2981,2981,2921,2926,32100,2926
116,2016-06-23,2925,2935,2903,2905,19800,2905
117,2016-06-24,2946,2970,2695,2800,42600,2800
118,2016-06-27,2807,2874,2804,2833,162200,2833
119,2016-06-28,2722,2799,2720,2764,90600,2764
120,2016-06-29,2795,2796,2749,2772,18700,2772
121,2016-06-30,2772,2789,2723,2725,14800,2725
122,2016-07-01,2718,2765,2718,2732,15400,2732
123,2016-07-04,2757,2793,2748,2782,13900,2782
124,2016-07-05,2809,2820,2785,2796,11600,2796
125,2016-07-06,2766,2789,2740,2789,15100,2789
126,2016-07-07,2771,2796,2761,2780,9600,2780
127,2016-07-08,2780,2780,2720,2720,17000,2720
128,2016-07-11,2790,2900,2769,2816,22100,2816
129,2016-07-12,2822,2876,2822,2861,17100,2861
130,2016-07-13,2874,2885,2856,2876,13100,2876
131,2016-07-14,2880,2918,2872,2902,18500,2902
132,2016-07-15,2923,2923,2869,2872,13200,2872
133,2016-07-19,2860,2873,2816,2829,13700,2829
134,2016-07-20,2811,2852,2811,2850,8700,2850
135,2016-07-21,2853,2853,2800,2810,12300,2810
136,2016-07-22,2780,2786,2695,2765,16600,2765
137,2016-07-25,2805,2805,2759,2764,8800,2764
138,2016-07-26,2764,2764,2691,2695,24700,2695
139,2016-07-27,2695,2723,2691,2708,17700,2708
140,2016-07-28,2690,2691,2601,2613,81800,2613
141,2016-07-29,2629,2729,2629,2709,28300,2709
142,2016-08-01,2707,2707,2660,2663,8900,2663
143,2016-08-02,2660,2680,2630,2631,11600,2631
144,2016-08-03,2630,2654,2615,2630,9700,2630
145,2016-08-04,2621,2645,2601,2635,14000,2635
146,2016-08-05,2640,2640,2605,2626,6200,2626
147,2016-08-08,2628,2640,2621,2621,6400,2621
148,2016-08-09,2640,2648,2628,2648,4400,2648
149,2016-08-10,2630,2650,2622,2625,8900,2625
150,2016-08-12,2633,2666,2633,2663,8100,2663
151,2016-08-15,2679,2679,2647,2669,6900,2669
152,2016-08-16,2651,2651,2625,2630,7500,2630
153,2016-08-17,2628,2647,2604,2615,10600,2615
154,2016-08-18,2603,2610,2584,2586,11400,2586
155,2016-08-19,2582,2593,2573,2577,11600,2577
156,2016-08-22,2575,2634,2575,2628,7900,2628
157,2016-08-23,2606,2630,2606,2630,8700,2630
158,2016-08-24,2635,2639,2607,2609,9600,2609
159,2016-08-25,2642,2642,2616,2626,3600,2626
160,2016-08-26,2620,2620,2581,2586,9200,2586
161,2016-08-29,2597,2613,2591,2606,6600,2606
162,2016-08-30,2606,2609,2583,2591,4300,2591
163,2016-08-31,2596,2609,2595,2609,4800,2609
164,2016-09-01,2604,2614,2601,2607,6000,2607
165,2016-09-02,2607,2629,2607,2612,5400,2612
166,2016-09-05,2648,2664,2628,2663,10700,2663
167,2016-09-06,2665,2694,2660,2693,5400,2693
168,2016-09-07,2693,2712,2680,2711,11500,2711
169,2016-09-08,2711,2711,2695,2704,7400,2704
170,2016-09-09,2686,2707,2686,2698,9000,2698
171,2016-09-12,2680,2690,2670,2688,8200,2688
172,2016-09-13,2681,2712,2681,2694,4700,2694
173,2016-09-14,2691,2712,2691,2706,5600,2706
174,2016-09-15,2718,2718,2681,2701,10300,2701
175,2016-09-16,2698,2701,2665,2701,8200,2701
176,2016-09-20,2680,2708,2679,2688,9500,2688
177,2016-09-21,2688,2723,2681,2723,10300,2723
178,2016-09-23,2723,2765,2684,2758,19500,2758
179,2016-09-26,2774,2780,2751,2774,9500,2774
180,2016-09-27,2774,2793,2766,2793,13700,2793
181,2016-09-28,2800,2819,2780,2813,11200,2813
182,2016-09-29,2820,2883,2813,2874,16600,2874
183,2016-09-30,2864,2873,2837,2841,9600,2841
184,2016-10-03,2842,2875,2842,2856,5900,2856
185,2016-10-04,2855,2870,2850,2861,5800,2861
186,2016-10-05,2875,2921,2865,2909,16100,2909
187,2016-10-06,2899,2909,2890,2903,7000,2903
188,2016-10-07,2903,2903,2841,2855,22400,2855
189,2016-10-11,2862,2879,2850,2879,22000,2879
190,2016-10-12,2850,2862,2850,2855,5600,2855
191,2016-10-13,2880,2880,2855,2873,9300,2873
192,2016-10-17,2900,2901,2871,2900,8700,2900
193,2016-10-19,2896,2919,2895,2917,7000,2917
194,2016-10-20,2918,2933,2918,2933,7600,2933
195,2016-10-21,2949,2949,2927,2931,23300,2931
196,2016-10-24,2945,2948,2918,2931,9500,2931
197,2016-10-25,2942,2942,2922,2926,7400,2926
198,2016-10-26,2928,2963,2928,2963,18100,2963
199,2016-10-27,2970,2970,2950,2967,15200,2967
200,2016-10-28,2985,2992,2972,2992,17800,2992
201,2016-10-31,2995,3005,2972,2991,28300,2991
202,2016-11-01,2992,2992,2973,2988,9800,2988
203,2016-11-02,2962,2982,2945,2954,19100,2954
204,2016-11-04,2926,2926,2866,2908,23300,2908
205,2016-11-07,2900,2934,2900,2927,30900,2927
206,2016-11-08,2912,2944,2908,2909,9800,2909
207,2016-11-09,2921,2929,2800,2825,26500,2825
208,2016-11-10,2907,2950,2905,2924,15300,2924
209,2016-11-11,2852,2900,2852,2884,21800,2884
210,2016-11-14,2840,2913,2840,2906,39900,2906
211,2016-11-15,2915,2915,2855,2859,37100,2859
212,2016-11-16,2855,2888,2848,2882,41600,2882
213,2016-11-17,2866,2870,2850,2856,37800,2856
214,2016-11-18,2890,2897,2870,2879,38100,2879
215,2016-11-21,2880,2891,2864,2867,37800,2867
216,2016-11-22,2871,2913,2868,2911,13600,2911
217,2016-11-24,2938,2939,2887,2902,36900,2902
218,2016-11-25,2934,2934,2902,2913,39700,2913
219,2016-11-28,2900,2929,2895,2910,45000,2910
220,2016-11-29,2879,2905,2879,2891,22300,2891
221,2016-11-30,2886,2902,2876,2881,35600,2881
222,2016-12-01,2880,2916,2872,2876,23200,2876
223,2016-12-02,2876,2880,2856,2867,25100,2867
224,2016-12-05,2856,2856,2806,2819,44700,2819
225,2016-12-06,2821,2826,2804,2806,32600,2806
226,2016-12-07,2801,2822,2800,2818,31300,2818
227,2016-12-08,2818,2834,2815,2833,20800,2833
228,2016-12-09,2815,2835,2802,2833,22700,2833
229,2016-12-12,2833,2834,2819,2828,30000,2828
230,2016-12-13,2831,2884,2831,2876,26800,2876
231,2016-12-14,2872,2882,2860,2875,18900,2875
232,2016-12-15,2881,2907,2880,2890,19700,2890
233,2016-12-16,2890,2902,2883,2888,18500,2888
234,2016-12-19,2885,2898,2885,2891,27500,2891
235,2016-12-20,2902,2919,2894,2915,28700,2915
236,2016-12-21,2913,2920,2900,2900,31400,2900
237,2016-12-22,2900,2925,2888,2925,27700,2925
238,2016-12-26,2929,2939,2921,2930,52700,2930
239,2016-12-27,2928,2939,2926,2930,136300,2930
240,2016-12-28,2920,2924,2886,2891,164500,2891
241,2016-12-29,2890,2890,2830,2874,40100,2874
242,2016-12-30,2872,2887,2855,2876,17400,2876
